symbol,open,high,low,close,volume,preclose,stockpctchange,date1,ma10,ma20,ma50,volumeMa10,dollarVolume,range,avgRange,adr,min10,max10,symbolToCopy,pct10d
ACRV,8.510000000000000000,10.290000000000000000,8.310000000000000000,9.590000000000000000,375300.000000000000000000,8.460000000000000000,13.360000000000000000,2024-05-03,9.11,9.28,7.11,312410.0,2996011.9,1.238267,23.117968,15.58984000000001,8.230000000000000000,10.000000000000000000,"NASDAQ:ACRV,",21.506700
ADVM,10.100000000000000000,10.690000000000000000,10.000000000000000000,10.430000000000000000,900500.000000000000000000,10.000000000000000000,4.300000000000000000,2024-05-03,10.06,10.89,8.16,510780.0,5327435.399999999,1.069000,21.487082,7.435410000000009,9.190000000000000000,11.340000000000000000,"NASDAQ:ADVM,",23.395000
ALHC,5.720000000000000000,6.730000000000000000,5.615000000000000000,6.630000000000000000,3024800.000000000000000000,5.260000000000000000,26.050000000000000000,2024-05-03,5.31,5.09,5.15,1055670.0,6999092.1,1.198575,21.072324,5.36162,5.010000000000000000,6.630000000000000000,"NASDAQ:ALHC,",32.335300
AMRX,6.250000000000000000,6.900000000000000000,5.810000000000000000,6.760000000000000000,3851000.000000000000000000,6.210000000000000000,8.860000000000000000,2024-05-03,5.97,5.78,5.75,2117690.0,1.43155844E7,1.187608,21.009035,5.045175000000013,5.370000000000000000,6.760000000000000000,"NASDAQ:AMRX,",25.884500
ANAB,26.760000000000000000,27.020000000000000000,25.640000000000000000,26.580000000000000000,332000.000000000000000000,26.340000000000000000,0.910000000000000000,2024-05-03,22.26,21.91,22.99,523510.0,1.3914895799999999E7,1.053822,21.538548,7.692739999999998,18.870000000000000000,26.580000000000000000,"NASDAQ:ANAB,",40.858500
ARQ,7.840000000000000000,8.100000000000000000,7.770000000000000000,7.970000000000000000,181300.000000000000000000,7.860000000000000000,1.400000000000000000,2024-05-03,7.55,7.29,5.95,258640.0,2061360.8,1.042471,21.818342,9.091709999999997,6.610000000000000000,7.970000000000000000,"NASDAQ:ARQ,",20.574900
BNTC,9.120000000000000000,10.290000000000000000,8.545300000000000000,8.950000000000000000,78400.000000000000000000,8.868600000000000000,0.920000000000000000,2024-05-03,7.57,6.67,5.68,56020.0,501378.99999999994,1.204171,22.433701,12.168504999999996,6.720000000000000000,8.950000000000000000,"NASDAQ:BNTC,",33.184500
CABA,12.830000000000000000,13.000000000000000000,12.200000000000000000,12.390000000000000000,817400.000000000000000000,12.600000000000000000,-1.670000000000000000,2024-05-03,12.13,14.3,17.52,2008420.0,2.48843238E7,1.065574,21.695810,8.479049999999999,10.480000000000000000,13.320000000000000000,"NASDAQ:CABA,",27.099200
CAR,116.430000000000000000,118.200000000000000000,111.880000000000000000,115.600000000000000000,1058900.000000000000000000,113.770000000000000000,1.610000000000000000,2024-05-03,103.15,108.1,111.28,1031090.0,1.19194004E8,1.056489,20.931432,4.657160000000005,94.750000000000000000,115.600000000000000000,"NASDAQ:CAR,",22.005300
CDLX,14.470000000000000000,15.210000000000000000,14.100000000000000000,14.880000000000000000,1065300.000000000000000000,13.970000000000000000,6.510000000000000000,2024-05-03,12.74,12.94,11.92,774160.0,1.15195008E7,1.078723,21.442939,7.214695000000004,11.520000000000000000,14.880000000000000000,"NASDAQ:CDLX,",29.166700
CGC,10.540000000000000000,11.270000000000000000,10.020000000000000000,10.240000000000000000,15724800.000000000000000000,10.340000000000000000,-0.970000000000000000,2024-05-03,9.87,8.95,6.63,2.412529E7,2.470429696E8,1.124750,23.869958,19.349790000000013,7.850000000000000000,14.880000000000000000,"NASDAQ:CGC,",89.554100
COGT,7.330000000000000000,7.720000000000000000,7.330000000000000000,7.530000000000000000,846300.000000000000000000,7.290000000000000000,3.290000000000000000,2024-05-03,6.76,6.68,6.75,1412060.0,1.06328118E7,1.053206,21.357668,6.788339999999993,6.010000000000000000,7.530000000000000000,"NASDAQ:COGT,",25.291200
DAVE,45.820000000000000000,46.319100000000000000,43.220000000000000000,45.140000000000000000,56100.000000000000000000,43.880000000000000000,2.870000000000000000,2024-05-03,43.33,39.33,35.79,109600.0,4947344.0,1.071705,21.839010,9.195049999999982,36.220000000000000000,48.240000000000000000,"NASDAQ:DAVE,",33.186100
DAWN,18.000000000000000000,18.000000000000000000,17.130000000000000000,17.170000000000000000,1163400.000000000000000000,17.570000000000000000,-2.280000000000000000,2024-05-03,16.14,15.3,15.42,2647370.0,4.5455342900000006E7,1.050788,21.600692,8.003459999999984,13.210000000000000000,17.690000000000000000,"NASDAQ:DAWN,",33.913700
DJT,47.470000000000000000,48.925000000000000000,44.290000000000000000,47.930000000000000000,5791000.000000000000000000,48.680000000000000000,-1.540000000000000000,2024-05-03,42.21,37.07,40.94,7581790.0,3.633951947E8,1.104651,23.025552,15.127760000000002,32.570000000000000000,49.930000000000000000,"NASDAQ:DJT,",53.300600
DNTH,24.620000000000000000,26.665000000000000000,23.519400000000000000,25.800000000000000000,203600.000000000000000000,24.010000000000000000,7.460000000000000000,2024-05-03,22.61,23.35,25.45,165710.0,4275318.0,1.133745,21.763057,8.815284999999996,20.990000000000000000,25.800000000000000000,"NASDAQ:DNTH,",22.915700
FLNC,20.040000000000000000,20.930000000000000000,20.020000000000000000,20.900000000000000000,3275500.000000000000000000,19.490000000000000000,7.230000000000000000,2024-05-03,17.66,16.92,16.03,1863630.0,3.8949867E7,1.045455,21.074392,5.371959999999998,15.690000000000000000,20.900000000000000000,"NASDAQ:FLNC,",33.205900
GRRR,5.880000000000000000,6.350000000000000000,5.500000000000000000,5.640000000000000000,348600.000000000000000000,6.060000000000000000,-6.930000000000000000,2024-05-03,5.55,4.27,2.18,671720.0,3788500.8,1.154545,22.515250,12.57625,5.000000000000000000,6.060000000000000000,"NASDAQ:GRRR,",21.200000
IOVA,13.460000000000000000,13.879900000000000000,13.300000000000000000,13.630000000000000000,4292800.000000000000000000,12.880000000000000000,5.820000000000000000,2024-05-03,12.09,12.2,13.99,3832210.0,5.2233022300000004E7,1.043602,21.068830,5.344149999999992,11.320000000000000000,13.630000000000000000,"NASDAQ:IOVA,",20.406400
JSPR,24.370000000000000000,25.095000000000000000,24.041100000000000000,24.520000000000000000,58000.000000000000000000,23.980000000000000000,2.250000000000000000,2024-05-03,22.65,24.5,25.24,65700.0,1610964.0,1.043837,21.425129,7.125644999999992,20.400000000000000000,24.520000000000000000,"NASDAQ:JSPR,",20.196100
LFMD,12.520000000000000000,12.800000000000000000,12.245000000000000000,12.510000000000000000,870400.000000000000000000,12.490000000000000000,0.160000000000000000,2024-05-03,11.53,10.73,9.86,673150.0,8421106.5,1.045325,21.278776,6.393880000000007,10.000000000000000000,12.510000000000000000,"NASDAQ:LFMD,",25.100000
NVCT,6.930000000000000000,8.290000000000000000,6.900000000000000000,8.140000000000000000,110700.000000000000000000,6.760000000000000000,20.410000000000000000,2024-05-03,6.74,6.92,8.31,79380.0,646153.2000000001,1.201449,21.840153,9.200765,6.080000000000000000,8.140000000000000000,"NASDAQ:NVCT,",33.881600
NVDL,37.410000000000000000,38.670000000000000000,36.810000000000000000,38.250000000000000000,15142600.000000000000000000,35.800000000000000000,6.840000000000000000,2024-05-03,34.87,35.94,86.37,1.701857E7,6.509603025E8,1.050530,21.942397,9.71198499999999,31.210000000000000000,38.250000000000000000,"NASDAQ:NVDL,",22.556900
OPRX,10.940000000000000000,10.970000000000000000,10.600000000000000000,10.620000000000000000,103000.000000000000000000,10.700000000000000000,-0.750000000000000000,2024-05-03,9.81,10.09,12.17,178480.0,1895457.5999999999,1.034906,21.112682,5.563410000000002,8.800000000000000000,10.700000000000000000,"NASDAQ:OPRX,",21.590900
PI,162.400000000000000000,163.450000000000000000,158.090000000000000000,161.230000000000000000,336400.000000000000000000,159.730000000000000000,0.940000000000000000,2024-05-03,146.38,134.0,124.42,922190.0,1.486846937E8,1.033905,21.026407,5.13203499999999,120.270000000000000000,161.230000000000000000,"NASDAQ:PI,",34.056700
POWL,162.160000000000000000,163.736000000000000000,156.300000000000000000,159.950000000000000000,317200.000000000000000000,160.580000000000000000,-0.390000000000000000,2024-05-03,150.71,139.87,148.57,427730.0,6.84154135E7,1.047575,21.119083,5.595415000000004,136.130000000000000000,170.010000000000000000,"NASDAQ:POWL,",24.888000
PROP,14.710000000000000000,14.899900000000000000,14.200000000000000000,14.440000000000000000,106800.000000000000000000,14.600000000000000000,-1.100000000000000000,2024-05-03,14.3,14.08,11.7,204780.0,2957023.1999999997,1.049289,22.117221,10.586105000000012,11.820000000000000000,15.130000000000000000,"NASDAQ:PROP,",28.003400
QUIK,13.610000000000000000,14.219400000000000000,13.501100000000000000,13.920000000000000000,210800.000000000000000000,13.430000000000000000,3.650000000000000000,2024-05-03,13.65,13.35,14.95,445010.0,6194539.2,1.053203,21.150222,5.751109999999993,11.780000000000000000,15.460000000000000000,"NASDAQ:QUIK,",31.239400
RCKY,34.630000000000000000,35.689900000000000000,34.000000000000000000,35.110000000000000000,84900.000000000000000000,34.000000000000000000,3.260000000000000000,2024-05-03,28.84,27.66,27.04,57820.0,2030060.2,1.049703,20.998623,4.993114999999992,25.770000000000000000,35.110000000000000000,"NASDAQ:RCKY,",36.243700
RILY,33.620000000000000000,34.419900000000000000,29.620100000000000000,31.100000000000000000,1114400.000000000000000000,33.580000000000000000,-7.390000000000000000,2024-05-03,31.48,26.65,22.6,2784260.0,8.6590486E7,1.162045,22.486898,12.43449000000001,21.540000000000000000,38.550000000000000000,"NASDAQ:RILY,",78.969400
RILYT,18.900000000000000000,18.900000000000000000,17.671000000000000000,18.000000000000000000,9200.000000000000000000,18.220000000000000000,-1.210000000000000000,2024-05-03,17.84,16.95,15.64,38960.0,701280.0,1.069549,20.835137,4.175685000000007,15.080100000000000000,19.128000000000000000,"NASDAQ:RILYT,",26.842700
RNAC,26.240000000000000000,27.290000000000000000,24.776600000000000000,25.600000000000000000,137400.000000000000000000,24.430000000000000000,4.790000000000000000,2024-05-03,21.82,19.53,8.45,118630.0,3036928.0,1.101442,22.299770,11.498849999999994,18.260000000000000000,25.600000000000000000,"NASDAQ:RNAC,",40.197200
SMXT,10.460000000000000000,11.000000000000000000,10.110000000000000000,10.420000000000000000,57200.000000000000000000,10.360000000000000000,0.580000000000000000,2024-05-03,9.61,10.47,9.26,175330.0,1826938.6,1.088032,25.042635,25.213175,8.000000000000000000,11.160000000000000000,"NASDAQ:SMXT,",39.500000
STGW,7.210000000000000000,7.210000000000000000,6.820000000000000000,6.900000000000000000,692300.000000000000000000,7.130000000000000000,-3.230000000000000000,2024-05-03,6.27,5.92,5.84,765840.0,5284296.0,1.057185,20.831093,4.1554649999999915,5.640000000000000000,7.130000000000000000,"NASDAQ:STGW,",26.418400
TCRX,8.790000000000000000,9.090000000000000000,8.550000000000000000,8.560000000000000000,88600.000000000000000000,8.650000000000000000,-1.040000000000000000,2024-05-03,7.76,7.52,7.29,174850.0,1496716.0,1.063158,21.370267,6.851334999999992,7.120000000000000000,8.650000000000000000,"NASDAQ:TCRX,",21.488800
TSL,7.150000000000000000,7.270000000000000000,6.967600000000000000,7.090000000000000000,262100.000000000000000000,7.050000000000000000,0.570000000000000000,2024-05-03,6.62,6.47,6.87,354210.0,2511348.9,1.043401,21.016372,5.081859999999994,5.280000000000000000,7.744900000000000000,"NASDAQ:TSL,",46.683700
TSLA,182.100000000000000000,184.780000000000000000,178.420000000000000000,181.190000000000000000,75491500.000000000000000000,180.010000000000000000,0.660000000000000000,2024-05-03,170.58,167.21,174.17,1.2774344E8,2.31458338936E10,1.035646,20.856216,4.281080000000004,142.050000000000000000,194.050000000000000000,"NASDAQ:TSLA,",36.606800
TSLT,11.180000000000000000,11.510000000000000000,10.750000000000000000,11.070000000000000000,4797500.000000000000000000,10.950000000000000000,1.100000000000000000,2024-05-03,10.05,9.81,11.0,6730240.0,7.45037568E7,1.070698,21.716105,8.580524999999994,7.090000000000000000,12.780000000000000000,"NASDAQ:TSLT,",80.253900
TSLZ,30.730000000000000000,31.978900000000000000,29.800000000000000000,31.030000000000000000,1509600.000000000000000000,31.420000000000000000,-1.240000000000000000,2024-05-03,38.55,41.73,40.36,2696020.0,8.365750060000001E7,1.073117,21.878387,9.391934999999997,27.230000000000000000,58.230000000000000000,"NASDAQ:TSLZ,",113.845000
ULH,44.360000000000000000,44.540000000000000000,42.161300000000000000,42.530000000000000000,57900.000000000000000000,43.940000000000000000,-3.210000000000000000,2024-05-03,40.09,36.72,35.75,116680.0,4962400.4,1.056419,20.973598,4.86799,32.890000000000000000,45.840000000000000000,"NASDAQ:ULH,",39.373700
VIR,10.130000000000000000,10.590000000000000000,10.020000000000000000,10.390000000000000000,1691800.000000000000000000,9.180000000000000000,13.180000000000000000,2024-05-03,8.53,8.63,9.82,1080370.0,1.12250443E7,1.056886,20.945012,4.725059999999992,7.630000000000000000,10.390000000000000000,"NASDAQ:VIR,",36.173000
AEYE,17.740000000000000000,19.700000000000000000,17.510000000000000000,18.450000000000000000,402700.000000000000000000,17.370000000000000000,6.220000000000000000,2024-05-03,15.14,13.94,10.83,313400.0,5782230.0,1.125071,22.671038,13.355190000000006,11.850000000000000000,18.450000000000000000,"NASDAQ:AEYE,",55.696200
ALAB,81.070000000000000000,81.250000000000000000,76.510000000000000000,76.960000000000000000,2141900.000000000000000000,79.060000000000000000,-2.660000000000000000,2024-05-03,76.64,73.94,73.84,2294400.0,1.76577024E8,1.061953,21.890372,9.45186,65.790000000000000000,85.700000000000000000,"NASDAQ:ALAB,",30.263000
ARDX,8.360000000000000000,9.130000000000000000,7.980000000000000000,8.720000000000000000,24971200.000000000000000000,6.790000000000000000,28.420000000000000000,2024-05-03,6.7,6.8,7.7,7263830.0,6.33405976E7,1.144110,21.110975,5.554875000000004,6.310000000000000000,8.720000000000000000,"NASDAQ:ARDX,",38.193300
BILI,14.900000000000000000,15.090000000000000000,14.605000000000000000,14.830000000000000000,7355500.000000000000000000,14.720000000000000000,0.750000000000000000,2024-05-03,12.99,12.18,11.5,1.006667E7,1.492887161E8,1.033208,20.803086,4.015429999999998,11.490000000000000000,14.830000000000000000,"NASDAQ:BILI,",29.068800
CDTX,11.750000000000000000,13.199900000000000000,11.750000000000000000,12.510000000000000000,54000.000000000000000000,12.680000000000000000,-1.340000000000000000,2024-05-03,10.03,5.42,2.64,747040.0,9345470.4,1.123396,23.142421,15.712104999999998,0.512500000000000000,13.000000000000000000,"NASDAQ:CDTX,",2436.585400
CSTL,23.500000000000000000,25.910000000000000000,22.775000000000000000,24.330000000000000000,839800.000000000000000000,22.840000000000000000,6.520000000000000000,2024-05-03,21.12,20.52,20.89,265780.0,6466427.399999999,1.137651,20.955709,4.77854499999999,19.510000000000000000,24.330000000000000000,"NASDAQ:CSTL,",24.705300
ENVX,9.840000000000000000,10.360900000000000000,9.550000000000000000,10.090000000000000000,11963600.000000000000000000,9.470000000000000000,6.550000000000000000,2024-05-03,6.91,6.93,7.91,7275070.0,7.34054563E7,1.084911,21.606257,8.031284999999988,5.840000000000000000,10.090000000000000000,"NASDAQ:ENVX,",72.774000
EWTX,19.740000000000000000,20.120000000000000000,19.440000000000000000,19.520000000000000000,545100.000000000000000000,19.290000000000000000,1.190000000000000000,2024-05-03,17.18,16.65,16.89,657940.0,1.2842988799999999E7,1.034979,21.328389,6.641945000000016,15.080000000000000000,19.520000000000000000,"NASDAQ:EWTX,",29.443000
EYPT,20.300000000000000000,21.255000000000000000,19.710000000000000000,19.740000000000000000,928800.000000000000000000,19.940000000000000000,-1.000000000000000000,2024-05-03,17.69,19.27,21.72,1102200.0,2.1757428E7,1.078387,21.635857,8.179285000000004,16.160000000000000000,19.940000000000000000,"NASDAQ:EYPT,",23.391100
FTEL,6.650000000000000000,9.360000000000000000,6.260000000000000000,7.720000000000000000,2309200.000000000000000000,6.360000000000000000,21.380000000000000000,2024-05-03,7.71,7.42,6.86,1175670.0,9076172.4,1.495208,23.308156,16.540780000000012,6.120000000000000000,9.150000000000000000,"NASDAQ:FTEL,",49.509800
GGLL,41.110000000000000000,41.110000000000000000,38.782400000000000000,40.830000000000000000,434800.000000000000000000,40.570000000000000000,0.640000000000000000,2024-05-03,38.97,37.55,34.42,306830.0,1.25278689E7,1.060017,20.871813,4.359065000000006,36.020000000000000000,43.270000000000000000,"NASDAQ:GGLL,",20.127700
IBRX,9.480000000000000000,10.010000000000000000,8.645000000000000000,9.150000000000000000,14704200.000000000000000000,8.970000000000000000,2.010000000000000000,2024-05-03,7.14,6.32,5.63,2.113641E7,1.933981515E8,1.157895,23.232928,16.16464,4.820000000000000000,9.150000000000000000,"NASDAQ:IBRX,",89.834000
IESC,150.170000000000000000,171.500000000000000000,148.992800000000000000,161.390000000000000000,387400.000000000000000000,136.860000000000000000,17.920000000000000000,2024-05-03,133.36,127.71,118.71,171770.0,2.7721960299999997E7,1.151062,21.066300,5.3315,117.680000000000000000,161.390000000000000000,"NASDAQ:IESC,",37.143100
JANX,63.980000000000000000,65.600000000000000000,59.310100000000000000,64.780000000000000000,1049900.000000000000000000,62.430000000000000000,3.760000000000000000,2024-05-03,53.98,50.68,43.41,880060.0,5.7010286800000004E7,1.106051,22.087426,10.437129999999994,47.100000000000000000,64.780000000000000000,"NASDAQ:JANX,",37.537200
JYNT,13.230000000000000000,16.240000000000000000,13.230000000000000000,16.120000000000000000,261700.000000000000000000,12.860000000000000000,25.350000000000000000,2024-05-03,12.76,12.55,11.99,67010.0,1080201.2,1.227513,20.872501,4.362504999999994,11.940000000000000000,16.120000000000000000,"NASDAQ:JYNT,",35.008400
LBPH,23.500000000000000000,23.955000000000000000,21.070000000000000000,21.375000000000000000,482400.000000000000000000,22.810000000000000000,-6.290000000000000000,2024-05-03,20.63,19.5,20.1,368060.0,7867282.5,1.136925,21.491766,7.458829999999983,18.670000000000000000,22.810000000000000000,"NASDAQ:LBPH,",22.174600
MDXG,7.650000000000000000,7.750500000000000000,7.360000000000000000,7.370000000000000000,832000.000000000000000000,7.500000000000000000,-1.730000000000000000,2024-05-03,6.64,6.56,7.36,1046590.0,7713368.3,1.053057,20.893885,4.469425000000005,6.160000000000000000,7.500000000000000000,"NASDAQ:MDXG,",21.753200
NGNE,36.020000000000000000,37.200000000000000000,35.690000000000000000,36.630000000000000000,44100.000000000000000000,35.390000000000000000,3.500000000000000000,2024-05-03,32.55,34.66,37.9,80640.0,2953843.2,1.042309,21.355039,6.775195000000012,29.870000000000000000,36.630000000000000000,"NASDAQ:NGNE,",22.631400
ORIC,9.770000000000000000,10.050000000000000000,9.480000000000000000,9.710000000000000000,277100.000000000000000000,9.520000000000000000,2.000000000000000000,2024-05-03,8.69,9.28,11.93,477990.0,4641282.9,1.060127,21.301273,6.506364999999992,7.670000000000000000,9.710000000000000000,"NASDAQ:ORIC,",26.597100
PEPG,14.500000000000000000,15.220000000000000000,13.950000000000000000,14.200000000000000000,106200.000000000000000000,14.490000000000000000,-2.000000000000000000,2024-05-03,12.51,12.3,13.52,70140.0,995988.0,1.091039,21.984758,9.923789999999988,11.390000000000000000,14.490000000000000000,"NASDAQ:PEPG,",27.216900
PLSE,8.090000000000000000,8.230000000000000000,7.730000000000000000,7.820000000000000000,169400.000000000000000000,8.050000000000000000,-2.860000000000000000,2024-05-03,7.25,7.35,8.54,137230.0,1073138.6,1.064683,21.417493,7.087464999999993,6.690000000000000000,8.050000000000000000,"NASDAQ:PLSE,",20.328800
PRME,5.920000000000000000,6.090000000000000000,5.450000000000000000,5.590000000000000000,923300.000000000000000000,5.610000000000000000,-0.360000000000000000,2024-05-03,4.93,5.19,6.59,937120.0,5238500.8,1.117431,21.733670,8.668349999999991,4.300000000000000000,5.610000000000000000,"NASDAQ:PRME,",30.465100
PTCT,34.730000000000000000,34.830000000000000000,32.810000000000000000,33.010000000000000000,992500.000000000000000000,33.620000000000000000,-1.810000000000000000,2024-05-03,29.57,27.85,28.8,1091380.0,3.60264538E7,1.061567,21.195989,5.979945000000009,25.210000000000000000,34.160000000000000000,"NASDAQ:PTCT,",35.501800
RENT,13.620000000000000000,14.350000000000000000,12.700000000000000000,14.340000000000000000,243400.000000000000000000,13.620000000000000000,5.290000000000000000,2024-05-03,11.82,11.91,5.28,251060.0,3600200.4,1.129921,26.441418,32.207089999999994,9.870000000000000000,14.340000000000000000,"NASDAQ:RENT,",45.288800
RILYZ,17.180000000000000000,17.223700000000000000,16.330000000000000000,16.560000000000000000,68800.000000000000000000,17.140000000000000000,-3.380000000000000000,2024-05-03,16.35,15.53,14.33,125950.0,2085731.9999999998,1.054727,20.854044,4.270219999999991,14.250000000000000000,17.210000000000000000,"NASDAQ:RILYZ,",20.771900
SKYT,10.480000000000000000,10.540000000000000000,9.900000000000000000,10.230000000000000000,396500.000000000000000000,10.360000000000000000,-1.250000000000000000,2024-05-03,9.7,9.59,10.23,269840.0,2760463.2,1.064646,20.995072,4.975360000000006,8.630000000000000000,10.360000000000000000,"NASDAQ:SKYT,",20.046300
SMTC,39.290000000000000000,39.690000000000000000,38.650000000000000000,39.010000000000000000,1399400.000000000000000000,38.680000000000000000,0.850000000000000000,2024-05-03,35.91,34.49,28.29,2519130.0,9.82712613E7,1.026908,21.152834,5.764170000000002,32.070000000000000000,39.010000000000000000,"NASDAQ:SMTC,",21.640200
TGTX,16.750000000000000000,17.000000000000000000,15.960000000000000000,16.190000000000000000,4804400.000000000000000000,16.420000000000000000,-1.400000000000000000,2024-05-03,14.52,14.43,15.21,5494990.0,8.896388810000001E7,1.065163,21.129035,5.645174999999991,13.320000000000000000,16.420000000000000000,"NASDAQ:TGTX,",23.273300
TSLL,8.180000000000000000,8.430000000000000000,7.860000000000000000,8.110000000000000000,24766800.000000000000000000,8.010000000000000000,1.250000000000000000,2024-05-03,7.35,7.17,7.92,3.706018E7,3.0055805979999995E8,1.072519,21.730348,8.651739999999997,5.190000000000000000,9.360000000000000000,"NASDAQ:TSLL,",80.346800
TSLR,12.300000000000000000,12.600000000000000000,11.800500000000000000,12.180000000000000000,242100.000000000000000000,12.030000000000000000,1.250000000000000000,2024-05-03,11.06,10.78,12.06,700420.0,8531115.6,1.067751,21.681617,8.408084999999987,7.800000000000000000,14.080000000000000000,"NASDAQ:TSLR,",80.512800
TWST,38.280000000000000000,41.770000000000000000,35.175200000000000000,41.210000000000000000,4458400.000000000000000000,32.010000000000000000,28.740000000000000000,2024-05-03,32.28,31.37,34.11,1403300.0,5.7829993E7,1.187484,21.174182,5.870909999999996,29.450000000000000000,41.210000000000000000,"NASDAQ:TWST,",39.932100
ULBI,12.400000000000000000,12.680000000000000000,12.250000000000000000,12.550000000000000000,92600.000000000000000000,12.560000000000000000,-0.080000000000000000,2024-05-03,10.83,9.87,9.49,185840.0,2332292.0,1.035102,21.201135,6.005674999999999,8.410000000000000000,12.560000000000000000,"NASDAQ:ULBI,",49.346000
